--------- beginning of main
03-09 21:00:59.090 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.task.TaskManager$commit$2.run(Unknown Source:262161)
03-09 21:00:59.090 17773 18011 W System.err: 	at com.ss.android.ugc.effectmanager.knadapt.KNExecutor$execute$1.run(Unknown Source:65540)
03-09 21:00:59.090 17773 18011 W System.err: 	at kotlinx.coroutines.internal.LimitedDispatcher.run(Unknown Source:327691)
03-09 21:00:59.090 17773 18011 W System.err: 	at kotlinx.coroutines.scheduling.TaskImpl.run(Unknown Source:196610)
03-09 21:00:59.090 17773 18011 W System.err: 	at kotlinx.coroutines.scheduling.CoroutineScheduler$Worker.run(Unknown Source:458805)
03-09 21:00:59.092 17773 18011 D Helios:Network-White: Block request lf16-effectcdn-us.tiktokcdn-us.com
03-09 21:00:59.092  2195  2269 I SDM     : HWDeviceDRM::SetupConcurrentWriteback: Tear down the Concurrent Writeback topology
03-09 21:00:59.095 17773 17853 D Helios:Network-TTNet: pop event true for 7dcd0848-c878-4615-9833-9940977ec588
03-09 21:00:59.102  2195 18543 I SDM     : HWCSession::NotifyCWBStatus: Notify the client about buffer status 0.
03-09 21:00:59.103  2195 18543 I SDM     : HWCSession::PerformFenceWaits: Remove current release fence from the pending fence wait queue.
03-09 21:00:59.103  2195 18543 I SDM     : HWCSession::PerformFenceWaits: CWB fence queue is empty. No pending release fence to wait on.
03-09 21:00:59.113  2163  2163 D SENSOREXT_ALS_COMP: the algorithm reported a negative value -0.86 ,lux = 0
03-09 21:00:59.113  2163  2163 D SENSOREXT_ALS_COMP: FrontLight: ReportLux 1.84 (1.84-0.00), pre 1.09, dbv 1807, dc 0, fps 90, chPanel -0.43--0.06--0.06-0.01, facCal:lux_s 1.19 cha_s 1.05-1.05-1.10-1.23, RunInfo: DPB 2503-12, TF 2503-0
03-09 21:00:59.134 17773 18011 W System.err: java.lang.IllegalArgumentException: cdnHostSuffix is not init !!!
03-09 21:00:59.134 17773 18011 W System.err: 	at com.bytedance.ttnet.AppConsts.getCdnHostSuffix(Unknown Source:196629)
